t (s),dotx1 (m/s),dotx2 (m/s),dotx3 (m/s),fp (N)
0,0,0,0,0
0.001,7.0811e-05,5.8906e-08,2.2509e-11,0.75327
0.002,0.00028157,8.6774e-07,1.156e-09,1.5023
0.003,0.00062742,4.2436e-06,1.2113e-08,2.2427
0.004,0.0011004,1.3097e-05,6.4921e-08,2.9704
0.005,0.0016898,3.1315e-05,2.396e-07,3.6812
0.006,0.0023821,6.36e-05,6.9658e-07,4.3712
0.007,0.0031615,0.00011528,1.7153e-06,5.0362
0.008,0.0040101,0.00019209,3.737e-06,5.6727
0.009,0.0049086,0.00029991,7.4091e-06,6.2769
0.01,0.0058362,0.00044454,1.363e-05,6.8455
0.011,0.0067715,0.00063138,2.3589e-05,7.3751
0.012,0.0076925,0.00086523,3.8803e-05,7.8629
0.013,0.0085776,0.00115,6.1141e-05,8.306
0.014,0.0094057,0.0014885,9.2846e-05,8.7018
0.015,0.010157,0.0018821,0.00013653,9.0483
0.016,0.010812,0.0023309,0.00019518,9.3433
0.017,0.011353,0.0028333,0.00027211,9.5852
0.018,0.011767,0.0033858,0.00037092,9.7727
0.019,0.012041,0.0039833,0.00049548,9.9046
0.02,0.012164,0.0046192,0.00064978,9.9803
0.021,0.012129,0.0052848,0.00083789,9.9992
0.022,0.011932,0.0059701,0.0010639,9.9613
0.023,0.011572,0.0066637,0.0013315,9.8669
0.024,0.01105,0.0073531,0.0016445,9.7163
0.025,0.010371,0.0080248,0.002006,9.5106
0.026,0.0095407,0.0086647,0.0024185,9.2508
0.027,0.0085694,0.0092584,0.0028839,8.9384
0.028,0.0074689,0.0097917,0.0034033,8.5753
0.029,0.006253,0.010251,0.0039768,8.1634
0.03,0.0049372,0.010622,0.0046032,7.7051
0.031,0.0035385,0.010894,0.0052804,7.2031
0.032,0.0020749,0.011055,0.0060049,6.6601
0.033,0.0005652,0.011098,0.0067718,6.0793
0.034,-0.00097159,0.011015,0.007575,5.4639
0.035,-0.0025164,0.0108,0.0084068,4.8175
0.036,-0.0040503,0.010453,0.0092584,4.1438
0.037,-0.0055553,0.0099733,0.01012,3.4464
0.038,-0.007014,0.0093635,0.010979,2.7295
0.039,-0.0084103,0.008629,0.011824,1.9971
0.04,-0.0097294,0.0077778,0.012641,1.2533
0.041,-0.010958,0.0068201,0.013416,0.50244
0.042,-0.012084,0.0057685,0.014135,-0.2513
0.043,-0.013099,0.0046372,0.014782,-1.0036
0.044,-0.013993,0.0034425,0.015343,-1.7502
0.045,-0.01476,0.0022018,0.015802,-2.4869
0.046,-0.015397,0.00093341,0.016145,-3.2094
0.047,-0.015899,-0.00034355,0.016359,-3.9137
0.048,-0.016265,-0.00161,0.016431,-4.5958
0.049,-0.016496,-0.0028469,0.016349,-5.2517
0.05,-0.016592,-0.0040361,0.016105,-5.8779
0.051,-0.016557,-0.0051605,0.01569,-6.4706
0.052,-0.016393,-0.0062042,0.015098,-7.0265
0.053,-0.016106,-0.0071533,0.014326,-7.5425
0.054,-0.015701,-0.0079959,0.013371,-8.0157
0.055,-0.015182,-0.0087227,0.012236,-8.4433
0.056,-0.014557,-0.0093265,0.010924,-8.8229
0.057,-0.013832,-0.0098031,0.0094411,-9.1524
0.058,-0.013013,-0.010151,0.0077955,-9.4299
0.059,-0.012108,-0.010371,0.0059985,-9.6538
0.06,-0.011123,-0.010468,0.0040636,-9.8229
0.061,-0.010066,-0.010448,0.0020064,-9.9361
