t (s),dotx1 (m/s),dotx2 (m/s),dotx3 (m/s),fp (N)
0,0,0,0,10
0.001,0.0018772,3.0079e-06,1.6701e-09,0
0.002,0.0018441,1.9513e-05,4.2546e-08,0
0.003,0.00178,5.1236e-05,2.6813e-07,0
0.004,0.0016862,9.7078e-05,9.4981e-07,0
0.005,0.0015649,0.00015546,2.4737e-06,0
0.006,0.0014185,0.00022435,5.3238e-06,0
0.007,0.0012502,0.00030137,1.0061e-05,0
0.008,0.0010634,0.00038382,1.7296e-05,0
0.009,0.00086205,0.00046878,2.7666e-05,0
0.01,0.00065026,0.00055319,4.1798e-05,0
0.011,0.00043234,0.00063396,6.0283e-05,0
0.012,0.00021266,0.00070803,8.3644e-05,0
0.013,-4.4424e-06,0.00077251,0.0001123,0
0.014,-0.00021476,0.00082473,0.00014655,0
0.015,-0.0004143,0.00086232,0.00018654,0
0.016,-0.00059939,0.00088332,0.00023223,0
0.017,-0.00076674,0.00088623,0.00028341,0
0.018,-0.0009135,0.00087003,0.00033966,0
0.019,-0.0010374,0.00083426,0.00040035,0
0.02,-0.0011366,0.00077901,0.00046467,0
0.021,-0.0012099,0.00070496,0.00053158,0
0.022,-0.0012568,0.00061332,0.00059989,0
0.023,-0.0012772,0.00050584,0.00066825,0
0.024,-0.0012718,0.00038478,0.00073515,0
0.025,-0.0012417,0.0002528,0.000799,0
0.026,-0.0011885,0.00011295,0.00085814,0
0.027,-0.0011144,-3.1442e-05,0.0009109,0
0.028,-0.0010218,-0.00017686,0.0009556,0
0.029,-0.00091348,-0.00031968,0.00099065,0
0.03,-0.00079257,-0.00045627,0.0010145,0
0.031,-0.00066224,-0.00058311,0.0010259,0
0.032,-0.00052577,-0.00069687,0.0010236,0
0.033,-0.00038644,-0.0007945,0.0010068,0
0.034,-0.00024741,-0.00087333,0.00097463,0
0.035,-0.0001117,-0.00093115,0.00092684,0
0.036,1.7924e-05,-0.00096627,0.00086334,0
0.037,0.00013898,-0.00097755,0.00078438,0
0.038,0.00024934,-0.00096448,0.00069055,0
0.039,0.00034726,-0.00092717,0.00058277,0
0.04,0.00043143,-0.00086636,0.00046228,0
0.041,0.00050095,-0.00078342,0.00033062,0
0.042,0.00055536,-0.00068029,0.00018964,0
0.043,0.00059463,-0.00055949,4.1393e-05,0
0.044,0.00061915,-0.00042398,-0.00011182,0
0.045,0.00062964,-0.00027718,-0.00026757,0
0.046,0.00062719,-0.0001228,-0.00042327,0
0.047,0.00061315,3.5197e-05,-0.00057631,0
0.048,0.0005891,0.00019272,-0.00072405,0
0.049,0.0005568,0.00034567,-0.00086392,0
0.05,0.00051807,0.00048999,-0.00099344,0
0.051,0.00047479,0.00062183,-0.0011103,0
0.052,0.00042881,0.00073762,-0.0012124,0
0.053,0.00038187,0.00083418,-0.001298,0
0.054,0.00033559,0.00090877,-0.0013654,0
0.055,0.00029135,0.0009592,-0.0014136,0
0.056,0.00025033,0.00098384,-0.0014417,0
0.057,0.00021341,0.00098175,-0.0014492,0
0.058,0.00018119,0.00095259,-0.0014362,0
0.059,0.00015395,0.00089674,-0.0014029,0
0.06,0.00013167,0.00081522,-0.0013503,0
0.061,0.00011402,0.00070969,-0.0012794,0
0.062,0.0001004,0.00058241,-0.0011917,0
0.063,8.9956e-05,0.00043619,-0.0010892,0
0.064,8.1616e-05,0.00027429,-0.00097378,0
0.065,7.4151e-05,0.00010038,-0.00084794,0
0.066,6.6213e-05,-8.1595e-05,-0.00071419,0
