t (s),dotx1 (m/s),dotx2 (m/s),dotx3 (m/s),fp (N)
0,2.5837e-23,1.7242e-29,-7.2755e-30,0.004188
0.001,1.1811e-06,1.5883e-09,8.2496e-13,0.0083892
0.002,2.6755e-06,1.3894e-08,2.4821e-11,0.0077433
0.003,3.7167e-06,4.8765e-08,1.9088e-10,0.0040608
0.004,3.143e-06,1.1323e-07,8.0821e-10,-0.0087654
0.005,2.0372e-07,1.9999e-07,2.4227e-09,-0.020555
0.006,-4.7678e-06,2.821e-07,5.7395e-09,-0.030393
0.007,-1.2446e-05,3.1487e-07,1.1384e-08,-0.050269
0.008,-2.4789e-05,2.301e-07,1.9508e-08,-0.08236
0.009,-4.1916e-05,-7.7016e-08,2.9186e-08,-0.10574
0.01,-6.2258e-05,-7.463e-07,3.7527e-08,-0.12423
0.011,-8.4791e-05,-1.9385e-06,3.8515e-08,-0.14035
0.012,-0.00010723,-3.8224e-06,2.17e-08,-0.13852
0.013,-0.00012469,-6.5514e-06,-2.9119e-08,-0.1064
0.014,-0.000132,-1.022e-05,-1.3701e-07,-0.052574
0.015,-0.00012287,-1.482e-05,-3.3246e-07,0.045607
0.016,-9.1015e-05,-2.0184e-05,-6.5294e-07,0.16848
0.017,-3.112e-05,-2.5941e-05,-1.141e-06,0.32968
0.018,6.0479e-05,-3.1477e-05,-1.841e-06,0.503
0.019,0.00018573,-3.5917e-05,-2.7927e-06,0.70217
0.02,0.00034445,-3.8121e-05,-4.0242e-06,0.89679
0.021,0.00053159,-3.6715e-05,-5.5417e-06,1.0711
0.022,0.00073897,-3.015e-05,-7.3174e-06,1.2126
0.023,0.0009554,-1.6805e-05,-9.2773e-06,1.3047
0.024,0.0011659,4.8942e-06,-1.1288e-05,1.3247
0.025,0.0013545,3.6321e-05,-1.3143e-05,1.2821
0.026,0.0015048,7.8493e-05,-1.4558e-05,1.1601
0.027,0.0016006,0.00013192,-1.5159e-05,0.9667
0.028,0.0016299,0.00019647,-1.4484e-05,0.72894
0.029,0.0015859,0.00027125,-1.1989e-05,0.46266
0.03,0.0014656,0.00035463,-7.0614e-06,0.1773
0.031,0.001272,0.00044417,9.6386e-07,-0.086538
0.032,0.0010143,0.00053677,1.2775e-05,-0.31755
0.033,0.00070621,0.00062878,2.9054e-05,-0.49135
0.034,0.00036445,0.00071617,5.0434e-05,-0.60755
0.035,8.5095e-06,0.00079475,7.7469e-05,-0.64416
0.036,-0.00034064,0.00086044,0.00011058,-0.60833
0.037,-0.00066514,0.00090949,0.00015005,-0.52351
0.038,-0.00095002,0.00093869,0.00019593,-0.39105
0.039,-0.0011826,0.00094557,0.00024807,-0.22471
0.04,-0.0013544,0.00092853,0.00030608,-0.043951
0.041,-0.001462,0.00088694,0.0003693,0.1294
0.042,-0.0015058,0.00082119,0.00043685,0.2916
0.043,-0.0014887,0.00073261,0.00050759,0.4323
0.044,-0.0014148,0.00062348,0.00058015,0.56386
0.045,-0.0012874,0.00049694,0.00065299,0.69111
0.046,-0.0011112,0.00035683,0.00072443,0.80795
0.047,-0.00089024,0.00020765,0.00079266,0.93722
0.048,-0.0006275,5.4391e-05,0.00085586,1.0763
0.049,-0.00032722,-9.7595e-05,0.00091218,1.2213
0.05,6.4356e-06,-0.00024271,0.00095989,1.3842
0.051,0.00036839,-0.00037528,0.00099735,1.5485
0.052,0.00075215,-0.00048968,0.0010231,1.7197
0.053,0.0011498,-0.00058054,0.0010361,1.8794
0.054,0.0015501,-0.00064287,0.0010353,2.0099
